lat,lon,name,epidemic,suicide,combat,homicide,floods,population,wardeaths
18.735693,-70.162651,Dominican Republic,38,515,0,2466,231,9636520,0
-1.831239,-78.183406,Ecuador,564,1056,0.0247,6000,809,14447562,4
26.820553,30.802498,Egypt,15,1134,0,1725,707,80953881,0
13.794185,-88.89653,El Salvador,494,500,0.223,5023,643,6110301,14
1.650801,10.267895,Equatorial Guinea,15,35,0,176,0,868418,0
15.179384,39.782334,Eritrea,0,215,1.649,998,0,4232636,70
58.595272,25.013607,Estonia,0,339,0.2217,327,0,1337090,3
9.145,40.489673,Ethiopia,11465,4550,0.5288,29056,1956,83184892,440
-16.578193,179.414413,Fiji,0,23,0,13,43,843340,0
-10.447525,25.748151,Finland,0,1093,0,299,0,5313399,0
46.227638,2.213749,France,21,11579,0.001298,910,190,64374990,1
-0.803689,11.609444,Gabon,116,76,0,340,0,1536411,0
13.443182,-15.310139,Gambia,341,69,0,351,54,1588572,0
42.315407,43.356892,Georgia,0,87,1.0017859,363,9,4030000,40
51.165691,10.451526,Germany,0,11630,0.000433,1163,43,82110097,0
7.946527,-1.023194,Ghana,718,906,0,4440,281,23298640,0
36.137741,-5.345374,Gibraltar,0,351,0,0,0,32732,0
